sentence,entity_name,entity_type,date,year,month,day,decade,is_test
"NOUVELLES SUISSES — En 1887 , la Société suisse du Grutli s ' est accrue de 40 sections ; l ' association compte actuellement 12,000 membres",Société suisse du Grutli,org,1888-01-09,1888,1,9,1880,False
"POLITIQUE M . Ilg et Ménélik On - écrit aux « Neuc Ziircher Nachrichten » Dans un long rapport adressé d ' Adis - Abbeba aux journaux russes ( la Russie à un agent diplomatique auprès du négus , mais agit en outre en Abyssinie par l ' intermédiaire de l ' Eglise orthodoxe ) la nouvelle de la disgrâce , de M",Eglise orthodoxe,org,1908-01-21,1908,1,21,1900,False
Cette nomination lui permet d ' entrer dans la Chambre des lords,Chambre des lords,org,1908-01-21,1908,1,21,1900,False
Au Reichstag Le Reichstag a discuté lundi le projet modifiant la loi sur les éplzootics,Reichstag,org,1908-01-21,1908,1,21,1900,False
Au Reichstag Le Reichstag a discuté lundi le projet modifiant la loi sur les éplzootics,Reichstag,org,1908-01-21,1908,1,21,1900,False
"M . Gotheln , de l ' Union libérale , déclare que , suivant l ' opinion du professeur Behring , le sérum antituberculeux s ' est révélé absolu - « îent impuissant à combattre la tuberculose",Union libérale,org,1908-01-21,1908,1,21,1900,False
"— L ' expertise de la ligne Moutier - Soleuro , faite par les ingénieurs du département fédéral des chemins de fer , a eu pour résultat que l ' ouverture de la ligne ne pourra avoir lieu que dans quelques semaines seulement , les travaux n ' étant pas complètement achevés pour assurer un trafic régulier",département fédéral des chemins de fer,org,1908-01-31,1908,1,31,1900,False
"— La commission du Conseil national pour le recours des associations ouvrières catholiques , réunie mercredi et jeudi à Bâle , sous la présidence de M . Tbélin , a décidé à l ' unanimité de recommander au Conseil national dans sa prochaine séance l ' adoption du postulat suivant : Le Conseil fédéral est invité à étudier la question de savoir s ' il ne conviendrait pas d ' instituer une instance de recours contre les décisions du pouvoir exécutif qui pourraient impliquer la violation des droits constitutionnels individuels et à faire rapport à ce sujet lorsqu ' il présentera le projet de revision constitutionnelle actuellement à l ' étude concernant le tribunal administratif",Conseil national,org,1908-01-31,1908,1,31,1900,False
"— La commission du Conseil national pour le recours des associations ouvrières catholiques , réunie mercredi et jeudi à Bâle , sous la présidence de M . Tbélin , a décidé à l ' unanimité de recommander au Conseil national dans sa prochaine séance l ' adoption du postulat suivant : Le Conseil fédéral est invité à étudier la question de savoir s ' il ne conviendrait pas d ' instituer une instance de recours contre les décisions du pouvoir exécutif qui pourraient impliquer la violation des droits constitutionnels individuels et à faire rapport à ce sujet lorsqu ' il présentera le projet de revision constitutionnelle actuellement à l ' étude concernant le tribunal administratif",Conseil national,org,1908-01-31,1908,1,31,1900,False
"— La commission du Conseil national pour le recours des associations ouvrières catholiques , réunie mercredi et jeudi à Bâle , sous la présidence de M . Tbélin , a décidé à l ' unanimité de recommander au Conseil national dans sa prochaine séance l ' adoption du postulat suivant : Le Conseil fédéral est invité à étudier la question de savoir s ' il ne conviendrait pas d ' instituer une instance de recours contre les décisions du pouvoir exécutif qui pourraient impliquer la violation des droits constitutionnels individuels et à faire rapport à ce sujet lorsqu ' il présentera le projet de revision constitutionnelle actuellement à l ' étude concernant le tribunal administratif",Conseil fédéral,org,1908-01-31,1908,1,31,1900,False
