sentence,entity_name,entity_type,date,year,month,day,decade,is_test
"— Le département de l ' industrie et de l ' agriculture est autorisé à compléter son instruction du 17 novembre 1885 concernant le poinçonnage des balances à cadran pour le commerce du lait dans les laiteries , fromageries et autres établissements semblables , en ce sens que les balances à cadran système Bovat , mécanicien à Echallens , seront aussi admises","Bovat , mécanicien à Echallens",pers,1888-01-09,1888,1,9,1880,False
"Son but est de représenter l ' élément national du radicalisme genevois , en d ' autres termes , de défendre la politique intransigeante do M . Carteret , en opposition aux tendances du groupe _ > dont le Genevois est l ' organe",M . Carteret,pers,1888-01-09,1888,1,9,1880,False
"Fonctionneront comme vétérinaires : à Montlingen , M . J",M . J,pers,1888-01-09,1888,1,9,1880,False
- A,- A,pers,1888-01-09,1888,1,9,1880,False
"Zach , à Oberriet ; aux Places : M . Balmer , aux Verrières",Zach,pers,1888-01-09,1888,1,9,1880,False
"Zach , à Oberriet ; aux Places : M . Balmer , aux Verrières",M . Balmer,pers,1888-01-09,1888,1,9,1880,False
"' Il n ' y a eu que cinq mariages , dont deux indigènes et trois étrangers . — Le nommé Pfâffli , qui a tué sa femme à la gare de Thoune et qui a cherché à se suicider ensuite , n ' a pas succombé à ses blessures . Le médecin qui le soigne est parvenu à extraire la balle de la tête . SCHWYTZ . — Près de Kûssnacht , on voyait , il y a quelques jours encore , une muraille en ruine qui passait pour le dernier reste du château fort élevé en cet endroit par Gessler . Le propriétaire du domaine où se trouvait cette ruine historique vient de la faire démolir ; les matériaux ont servi à la construction d ' une écurie . _ Zooo . — Nous avons déjà dit que la commission d ' experts chargée d ' examiner l ' état du Faubourg de Zoug proposait la démolition de toute la rangée inférieure des maisons de cette rue",Pfâffli,pers,1888-01-09,1888,1,9,1880,False
"' Il n ' y a eu que cinq mariages , dont deux indigènes et trois étrangers . — Le nommé Pfâffli , qui a tué sa femme à la gare de Thoune et qui a cherché à se suicider ensuite , n ' a pas succombé à ses blessures . Le médecin qui le soigne est parvenu à extraire la balle de la tête . SCHWYTZ . — Près de Kûssnacht , on voyait , il y a quelques jours encore , une muraille en ruine qui passait pour le dernier reste du château fort élevé en cet endroit par Gessler . Le propriétaire du domaine où se trouvait cette ruine historique vient de la faire démolir ; les matériaux ont servi à la construction d ' une écurie . _ Zooo . — Nous avons déjà dit que la commission d ' experts chargée d ' examiner l ' état du Faubourg de Zoug proposait la démolition de toute la rangée inférieure des maisons de cette rue",Gessler,pers,1888-01-09,1888,1,9,1880,False
"— Le 3 janvier est décédé à Fribourg , à l ' âge de 70 ans , M . Alphonse von der Weid , ancien officier au service de Naples","M . Alphonse von der Weid , ancien officier au service de Naples",pers,1888-01-09,1888,1,9,1880,False
"Comme son cousin , M . Alfred von der Weid , président du Tir fédéral de Fribourg , il incarnait la race de ces citoyens , encore nombreux , chez lesquels le respect du passé et des traditions de famille s ' allient le plus naturellement du monde avec l ' esprit de progrès et un vif intérêt pour la chose publique","M . Alfred von der Weid , président du Tir fédéral de Fribourg",pers,1888-01-09,1888,1,9,1880,False
"En 1829 , il entrait comme porte - enseigne dans le 2 ° rég iment suisse de ples , levé et commandé à cette époque par son père , Charles - Emmanuel von der Weid , qui devint plus tard général",Charles - Emmanuel von der Weid,pers,1888-01-09,1888,1,9,1880,False
"Il revint à Fribourg , où il épousa la petite - fille du landamman d ' Affry",landamman d ' Affry,pers,1888-01-09,1888,1,9,1880,False
M . Alphonse von der Weid a rendu d ' éminents services à l ' agriculture fribourgeoise,M . Alphonse von der Weid,pers,1888-01-09,1888,1,9,1880,False
"POLITIQUE M . Ilg et Ménélik On - écrit aux « Neuc Ziircher Nachrichten » Dans un long rapport adressé d ' Adis - Abbeba aux journaux russes ( la Russie à un agent diplomatique auprès du négus , mais agit en outre en Abyssinie par l ' intermédiaire de l ' Eglise orthodoxe ) la nouvelle de la disgrâce , de M",M . Ilg,pers,1908-01-21,1908,1,21,1900,False
"POLITIQUE M . Ilg et Ménélik On - écrit aux « Neuc Ziircher Nachrichten » Dans un long rapport adressé d ' Adis - Abbeba aux journaux russes ( la Russie à un agent diplomatique auprès du négus , mais agit en outre en Abyssinie par l ' intermédiaire de l ' Eglise orthodoxe ) la nouvelle de la disgrâce , de M",Ménélik,pers,1908-01-21,1908,1,21,1900,False
"POLITIQUE M . Ilg et Ménélik On - écrit aux « Neuc Ziircher Nachrichten » Dans un long rapport adressé d ' Adis - Abbeba aux journaux russes ( la Russie à un agent diplomatique auprès du négus , mais agit en outre en Abyssinie par l ' intermédiaire de l ' Eglise orthodoxe ) la nouvelle de la disgrâce , de M",M,pers,1908-01-21,1908,1,21,1900,False
"l ' ingénieur Ilg , de Zurich , est p leinement confirmée",l ' ingénieur Ilg,pers,1908-01-21,1908,1,21,1900,False
Tous les biens que M . Ilg possédait,M . Ilg,pers,1908-01-21,1908,1,21,1900,False
"eu Abyssinie ont été confisqués par le négus , qui les a en grande partie distribués , aux ennemis de M . Ilg",M . Ilg,pers,1908-01-21,1908,1,21,1900,False
On ajoute quo Ménélik aurait été excité contre son ex - favori par l ' impératrice Taïtou,Ménélik,pers,1908-01-21,1908,1,21,1900,False
On ajoute quo Ménélik aurait été excité contre son ex - favori par l ' impératrice Taïtou,impératrice Taïtou,pers,1908-01-21,1908,1,21,1900,False
"A la Chambre française A propos de M . Reinach M . Lasies demande l ' urgence en faveur d ' un projet de résolution invitant le - gouvernement à accorder le droit commun "" aux officiers ot sous - officiers de laterritoriâlçécrivant ou parlant en dehors du service . . ' : "" fr -",M . Reinach,pers,1908-01-21,1908,1,21,1900,False
"A la Chambre française A propos de M . Reinach M . Lasies demande l ' urgence en faveur d ' un projet de résolution invitant le - gouvernement à accorder le droit commun "" aux officiers ot sous - officiers de laterritoriâlçécrivant ou parlant en dehors du service . . ' : "" fr -",M . Lasies,pers,1908-01-21,1908,1,21,1900,False
"dit - il , est nécesssaire avant lo vote du projet réintégrant dans les cadres de la territoriale Joseph Reinach , exclu lors de l ' affaire Dreyfus , car la Chambre ne doit pas adopter ' ues mesures particulières à telle ou telle , personne , mais des mesures générales",Joseph Reinach,pers,1908-01-21,1908,1,21,1900,False
"dit - il , est nécesssaire avant lo vote du projet réintégrant dans les cadres de la territoriale Joseph Reinach , exclu lors de l ' affaire Dreyfus , car la Chambre ne doit pas adopter ' ues mesures particulières à telle ou telle , personne , mais des mesures générales",Dreyfus,pers,1908-01-21,1908,1,21,1900,False
"Le _ ^ genéral Picqu art répond que le cas de M . Reinach , qui n ' avait fait que dire la vérité , est spécial",genéral Picqu art,pers,1908-01-21,1908,1,21,1900,False
"Le _ ^ genéral Picqu art répond que le cas de M . Reinach , qui n ' avait fait que dire la vérité , est spécial",M . Reinach,pers,1908-01-21,1908,1,21,1900,False
H ne peut s ' associer à la demande de M . Lasies,M . Lasies,pers,1908-01-21,1908,1,21,1900,False
"i M . Berteaux , président de la commission de l ' année , réclame le renvoi du projet do résolution à cotte commission , qui rapportera prochainement un projet satisfaisant M . Lasies dans la mesure du possible","M . Berteaux , président de la commission de l ' année",pers,1908-01-21,1908,1,21,1900,False
"i M . Berteaux , président de la commission de l ' année , réclame le renvoi du projet do résolution à cotte commission , qui rapportera prochainement un projet satisfaisant M . Lasies dans la mesure du possible",M . Lasies,pers,1908-01-21,1908,1,21,1900,False
M . Lasies accepte,M . Lasies,pers,1908-01-21,1908,1,21,1900,False
"A la demande de M . Dekthaye , le projet de loi réintégrant M Reinach au grade de capitaine de territoriale est ajourne , sans _ oppositipjn , jusqu ' après la discussion du projet sur le",M . Dekthaye,pers,1908-01-21,1908,1,21,1900,False
"A la demande de M . Dekthaye , le projet de loi réintégrant M Reinach au grade de capitaine de territoriale est ajourne , sans _ oppositipjn , jusqu ' après la discussion du projet sur le",M Reinach,pers,1908-01-21,1908,1,21,1900,False
_ ^ Be rteaux vient de promettre un prochain rapport,_ ^ Be rteaux,pers,1908-01-21,1908,1,21,1900,False
"M . Zévaès , socialiste , défend ce projet qui dégrèvera de 60 millions la petite propriété rurale et dégrèvera aussi les travailleurs","M . Zévaès , socialiste",pers,1908-01-21,1908,1,21,1900,False
"En tête de l ' ordre du jour d ' aujourd ' hui mardi , figure la discussion du rapport sur la proposition de M . Paul Constans , socialiste , rendant les employeurs responsables de la perte des outils par les employés","M . Paul Constans , socialiste",pers,1908-01-21,1908,1,21,1900,False
L ' élection de lord Curzon Lord Curzon a été élu lundi lord représentatif pour l ' Irlande,lord Curzon,pers,1908-01-21,1908,1,21,1900,False
L ' élection de lord Curzon Lord Curzon a été élu lundi lord représentatif pour l ' Irlande,Lord Curzon,pers,1908-01-21,1908,1,21,1900,False
"On se souvient que sir H . Campbeil - Bannerman avait refusé à Pcx - vice - roi des Indes la pairie - anglaise , qui lui eût donné droit d ' entrer dans la Chambre - Haute",sir H . Campbeil - Bannerman,pers,1908-01-21,1908,1,21,1900,False
"Demeuré pair d ' Irlande , lord Curzon devait , pour siéger , être élu par les lords irlandais",lord Curzon,pers,1908-01-21,1908,1,21,1900,False
jM,jM,pers,1908-01-21,1908,1,21,1900,False
"Seheidemann , socialiste , insiste sur l ' importance de co projet , puisqu ' il s ' agit de protéger les Etats allemands des épizooties","Seheidemann , socialiste",pers,1908-01-21,1908,1,21,1900,False
"Le député HofM , du parti de l ' empire , dit quo lo projet ne doit pas devenir une baguette magique pour les agrariens , mais protéger uniquement le bétail allemand",député HofM,pers,1908-01-21,1908,1,21,1900,False
"M . Gotheln , de l ' Union libérale , déclare que , suivant l ' opinion du professeur Behring , le sérum antituberculeux s ' est révélé absolu - « îent impuissant à combattre la tuberculose",M . Gotheln,pers,1908-01-21,1908,1,21,1900,False
"M . Gotheln , de l ' Union libérale , déclare que , suivant l ' opinion du professeur Behring , le sérum antituberculeux s ' est révélé absolu - « îent impuissant à combattre la tuberculose",professeur Behring,pers,1908-01-21,1908,1,21,1900,False
"— La commission du Conseil national pour le recours des associations ouvrières catholiques , réunie mercredi et jeudi à Bâle , sous la présidence de M . Tbélin , a décidé à l ' unanimité de recommander au Conseil national dans sa prochaine séance l ' adoption du postulat suivant : Le Conseil fédéral est invité à étudier la question de savoir s ' il ne conviendrait pas d ' instituer une instance de recours contre les décisions du pouvoir exécutif qui pourraient impliquer la violation des droits constitutionnels individuels et à faire rapport à ce sujet lorsqu ' il présentera le projet de revision constitutionnelle actuellement à l ' étude concernant le tribunal administratif",M . Tbélin,pers,1908-01-31,1908,1,31,1900,False
Le Conseil fédéral était représenté par MM,MM,pers,1908-01-31,1908,1,31,1900,False
"Brenner , Comtesse et Zemp , la Compagnie du Gothard , par ses directeurs : MM",Brenner,pers,1908-01-31,1908,1,31,1900,False
"Brenner , Comtesse et Zemp , la Compagnie du Gothard , par ses directeurs : MM",Comtesse,pers,1908-01-31,1908,1,31,1900,False
"Brenner , Comtesse et Zemp , la Compagnie du Gothard , par ses directeurs : MM",Zemp,pers,1908-01-31,1908,1,31,1900,False
"Brenner , Comtesse et Zemp , la Compagnie du Gothard , par ses directeurs : MM",directeurs : MM,pers,1908-01-31,1908,1,31,1900,False
